event_id,timestamp,user_principal_name,event_type,ip_address,country,city,user_agent,application,status,failure_reason,mfa_result,client_app,operation,target_resource,details
evt-010,2026-06-01T09:03:20,user10@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-011,2026-06-01T09:03:40,user11@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-012,2026-06-01T09:04:00,user12@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-013,2026-06-01T09:04:20,user13@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-014,2026-06-01T09:04:40,user14@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-015,2026-06-01T09:05:00,user15@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-016,2026-06-01T09:05:20,user16@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-017,2026-06-01T09:05:40,user17@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-018,2026-06-01T09:06:00,user18@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-019,2026-06-01T09:06:20,user19@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-020,2026-06-01T09:06:40,user20@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-021,2026-06-01T09:07:00,user21@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-022,2026-06-01T09:07:20,user22@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-023,2026-06-01T09:07:40,user23@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-024,2026-06-01T09:08:00,user24@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-999,2026-06-01T09:12:00,user7@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,success,,success,browser,UserLoggedIn,Microsoft 365,{}
